序号,国家,缩写名称,英文全称,中文译名
1,毛里求斯,MAURITAS,Mauritias Accreditation Service ,
2,埃塞俄比亚,ENAO,Ethiopian National Accreditation Office ,
3,肯尼亚,KENAS,Kenya Accreditation Service,
4,南非,SANAS,South African National Accreditation System,
5,安哥拉,SADCAS,Southern African Development Community Accreditation Service,
6,博茨瓦纳,SADCAS,Southern African Development Community Accreditation Service ,
7,津巴布韦,SADCAS,Southern African Development Community Accreditation Service ,
8,莱索托,SADCAS,Southern African Development Community Accreditation Service ,
9,马拉维,SADCAS,Southern African Development Community Accreditation Service ,
10,莫桑比克,SADCAS,Southern African Development Community Accreditation Service,
11,纳米比亚,SADCAS,Southern African Development Community Accreditation Service,
12,斯威士兰,SADCAS,Southern African Development Community Accreditation Service ,
13,坦桑尼亚,SADCAS,Southern African Development Community Accreditation Service,
14,赞比亚,SADCAS,Southern African Development Community Accreditation Service ,
15,刚果（金）,SADCAS,Southern African Development Community Accreditation Service ,
16,塞舌尔,SADCAS,Southern African Development Community Accreditation Service ,
17,马达加斯加,SADCAS,Southern African Development Community Accreditation Service ,
18,埃及,EGAC ,Egyptian Accreditation Council,
19,突尼斯,TUNAC,Tunisian Accreditation Council,
20,阿尔及利亚,ALGERAC,Organisme algérien d'accréditation,
21,摩洛哥,SEMAC,Moroccan Accreditation Service,
22,利比亚,LNCSM,Libyan National Center for Standization and Metrology ,
23,毛里塔利亚,DNPQ,Direction de la Normalisation et de la Promotion de la Qualite,
24,苏丹,SSMO,the State Service Management Office,
25,伊拉克,COSQC,Central Organizaton for Standardization and Quality Control,
26,约旦,JSMO,The Jordan Standards and Metrology Organization,
27,以色列,ISRAC,Israel Laboratory Accreditation Authority,
28,中国,CNAS,China National Accreditation Service for Conformity Assessment,中国合格评定国家认可中心
29,中国香港,HKAS,Hong Kong Accreditation Servce,
30,中国台湾,TAF,Taiwan Accreditation Foundation,财团法人全国认证基金会/中国台北认可机构
31,印尼,KAN,The National Accreditation Body of Indonesia,
32,伊朗,NACI,National Accreditation Centre of Iran,
33,哈萨克斯坦,NCA,National Center of Accreditation,
34,吉尔吉斯斯坦,KCA,Kyrgyz Center of Accreditation,
35,马来西亚,,"Department of Standards Malaysia,Ministry of Science, Technology and Innovation",
