序号,洲,国家,英文全称,英文缩写,中文译名,完成人
1,非洲,毛里求斯,Mauritias Accreditation Service ,MAURITAS,毛里求斯认可服务机构,唐伟
2,非洲,埃塞俄比亚,Ethiopian National Accreditation Office ,ENAO,埃塞俄比亚国家认可办公室,唐伟
3,非洲,肯尼亚,Kenya Accreditation Service,KENAS ,肯尼亚认可服务机构,唐伟
4,非洲,南非,South African National Accreditation System,SANAS,南非国家认可体系,唐伟
5,非洲,安哥拉、博茨瓦纳、津巴布韦、莱索托、马拉维、莫桑比克、纳米比亚、斯威士兰、坦桑尼亚、赞比亚、刚果（金）、塞舌尔、马达加斯加,Southern African Development Community Accreditation Service ,SADCAS,南部非洲发展共同体认可服务机构,唐伟
6,非洲,刚果（金）,Association Congolaise des Laboratoires,ASCOLAB,刚果实验室协会,唐伟
7,非洲,埃及,Egyptian Accreditation Council, EGAC,埃及认可委员会,唐伟
8,非洲,突尼斯,Tunisian Accreditation Council  ,TUNAC,突尼斯认可委员会,唐伟
9,非洲,阿尔及利亚,Algerian Accreditation Body/Organisme algérien d'accréditation ,ALGERAC,阿尔及利亚国家认可机构,唐伟
10,非洲,摩洛哥,Moroccan Accreditation Service, SEMAC,摩洛哥认可服务机构,唐伟
11,非洲,利比亚,Libyan National Center for Standization and Metrology ,LNCSM,利比亚标准化和计量国家中心,唐伟
12,非洲,毛里塔尼亚,Direction de la Normalisation/r/net de la Promotion de la Qualité  ,DNPQ,标准化及质量提升指导委员会,唐伟
13,非洲,苏丹,Soudanaise Accreditation Council     ,SDAC ,苏丹认可委员会,唐伟
14,亚洲,伊拉克,Iraqi Accreditation System,IQAS,伊拉克认可体系,唐伟
15,亚洲,约旦,Jordan Accreditation & Standardization Systems - Accreditation Unit,JAS-AU,约旦认可和标准化体系-认可机构,唐伟
16,亚洲,以色列,Israel Laboratory Accreditation Authority,ISRAC ,以色列实验室认可局,唐伟
17,亚洲,中国,China National Accreditation Service for Conformity Assessment,CNAS,中国合格评定国家认可中心,唐伟
18,亚洲,中国香港,Hong Kong Accreditation Servce ,HKAS,中国香港认可处,唐伟
19,亚洲,中国台湾,Taiwan Accreditation Foundation,TAF,中国台北认可机构,唐伟
20,亚洲,印尼,National Accreditation Body of Indonesia ,KAN,印度尼西亚国家认可机构,唐伟
21,亚洲,伊朗,National Accreditation Center of Iran,NACI,伊朗国家认可中心,唐伟
22,亚洲,哈萨克斯坦,National Center of Accreditation ,NCA,哈萨克斯坦国家认可中心,唐伟
23,亚洲,吉尔吉斯斯坦,the Kyrgyz Center of Accreditation,KCA,吉尔吉斯认可中心,唐伟
24,亚洲,马来西亚,Department of Standards Malaysia,Standards Malaysia,马来西亚标准局,唐伟
25,亚洲,蒙古,Mongolian Agency for Standardization and Metrology;Accreditation Department,MNAS,蒙古标准化与计量局认可部,唐伟
26,亚洲,巴基斯坦,Pakistan National Accreditation Council,PNAC,巴基斯坦国家认可委员会,唐伟
27,亚洲,菲律宾,Philippine Accreditation Bureau,PAB,菲律宾认可局,唐伟
28,亚洲,新加坡,Singapore Accreeditation Counsil  ,SAC,新加坡认可委员会,唐伟
29,亚洲,斯里兰卡,Sri Lanka Accreditation Board for Conformity Assessment,SLAB,斯里兰卡合格评定认可委员会,唐伟
30,亚洲,越南,Bureau of Accreditation ,BoA,越南认可局,唐伟
31,亚洲,越南,Accreditation Office for Standards Conformity Assessment Capacity,AOSC,越南标准合格评定能力认可办公室,唐伟
32,亚洲,孟加拉,Bangladesh Accreditation Board,BAB,孟加拉认可委员会,唐伟
33,亚洲,乌兹别克斯坦, Agency for Standardization， Metrology and Certification of Uzbekistan ,Uzstandard,乌兹别克斯坦标准化、计量与认证局,唐伟
34,亚洲,格鲁吉亚,Georgiana Center for Accreditation,GAC,格鲁吉亚认可中心,唐伟
35,亚洲,黎巴嫩,Lebanese Accreditation Council ,COLIBAC,黎巴嫩认可委员会,唐伟
36,亚洲,巴勒斯坦,Palestinian Accreditation Laboratory Committee ,PALAC,巴基斯坦实验室认可委员会,唐伟
37,亚洲,也门,Yemeni Accreditation Unit /r/nYemen Standardization;/r/nMetrology and Quality Control Organization,YAU,也门标准化、计量与质量控制机构认可部,唐伟
38,亚洲,阿联酋,Dubai Accreditation Department,DAC,迪拜认可处,唐伟
